2018-05-03 15:59:15,902[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=27746, open=27644, metric=1, events1=0, events2=0, pushers=63, create=27746, release=0, error=0, push_count=31563, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:06:59.107, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:25 ms.
2018-05-03 15:59:15,970[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=38202, open=31363, metric=0, events1=0, events2=6, pushers=23190, create=38263, release=76, error=2494, push_count=84416, unhosted_size=0, unhosted_count=0, fromproxy_count=11764, clock=2018-02-24 14:05:54.626, expired=19, min-time=2018-02-24 12:03:43.637, time-escaped:93 ms.
2018-05-03 15:59:16,366[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=255922, open=27637, metric=0, events1=0, events2=0, pushers=1152505, create=255922, release=0, error=0, push_count=1184020, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:06:34.285, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:489 ms.
2018-05-03 16:00:15,890[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=27746, open=27630, metric=1, events1=0, events2=1039, pushers=63, create=27746, release=0, error=0, push_count=31578, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:06:58.94, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:12 ms.
2018-05-03 16:00:15,960[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=38187, open=38187, metric=0, events1=0, events2=827, pushers=13795, create=38263, release=76, error=2956, push_count=87891, unhosted_size=0, unhosted_count=0, fromproxy_count=13915, clock=2018-02-24 14:05:54.252, expired=0, min-time=2018-02-24 14:00:00.01, time-escaped:82 ms.
2018-05-03 16:00:16,097[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=264853, open=31264, metric=0, events1=0, events2=0, pushers=1333056, create=265806, release=0, error=0, push_count=1371395, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:06:34.023, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:219 ms.
2018-05-03 16:01:15,889[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=33066, open=32944, metric=1, events1=0, events2=0, pushers=76, create=33066, release=0, error=0, push_count=38415, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:07:10.375, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:11 ms.
2018-05-03 16:01:15,977[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44231, open=38172, metric=0, events1=0, events2=2, pushers=27893, create=44307, release=91, error=4519, push_count=105227, unhosted_size=0, unhosted_count=0, fromproxy_count=17153, clock=2018-02-24 14:06:54.475, expired=23, min-time=2018-02-24 12:03:10.334, time-escaped:100 ms.
2018-05-03 16:01:16,129[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=269259, open=32942, metric=0, events1=0, events2=0, pushers=1477924, create=269259, release=0, error=0, push_count=1516278, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:06:54.536, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:252 ms.
2018-05-03 16:02:15,891[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=33066, open=32930, metric=1, events1=0, events2=0, pushers=76, create=33066, release=0, error=0, push_count=38430, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:07:58.156, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:14 ms.
2018-05-03 16:02:15,973[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44216, open=38172, metric=0, events1=0, events2=0, pushers=29449, create=44307, release=91, error=4616, push_count=108339, unhosted_size=0, unhosted_count=0, fromproxy_count=18709, clock=2018-02-24 14:06:54.295, expired=23, min-time=2018-02-24 12:03:10.334, time-escaped:95 ms.
2018-05-03 16:02:16,218[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=277734, open=32930, metric=0, events1=0, events2=0, pushers=1692474, create=277734, release=0, error=0, push_count=1730843, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:07:34.403, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:341 ms.
2018-05-03 16:03:15,891[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=33066, open=32930, metric=1, events1=0, events2=702, pushers=76, create=33066, release=0, error=0, push_count=38430, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:58.156, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:13 ms.
2018-05-03 16:03:15,989[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44216, open=44216, metric=0, events1=16, events2=742, pushers=27287, create=44307, release=91, error=4601, push_count=123581, unhosted_size=0, unhosted_count=0, fromproxy_count=26709, clock=2018-02-24 14:06:54.052, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:111 ms.
2018-05-03 16:03:16,300[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=287663, open=37225, metric=0, events1=0, events2=0, pushers=1973863, create=287808, release=0, error=0, push_count=2018349, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:07:34.403, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:422 ms.
2018-05-03 16:04:15,891[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37587, open=37456, metric=1, events1=0, events2=0, pushers=76, create=37587, release=0, error=0, push_count=44474, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:07:58.321, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:14 ms.
